Wavelength,Power transmitted
400.000,0.959596
401.000,0.959398
402.000,0.959201
403.000,0.959003
404.000,0.958805
405.000,0.958604
406.000,0.958402
407.000,0.958198
408.000,0.957991
409.000,0.957782
410.000,0.957572
411.000,0.957360
412.000,0.957146
413.000,0.956932
414.000,0.956716
415.000,0.956500
416.000,0.956283
417.000,0.956066
418.000,0.955848
419.000,0.955630
420.000,0.955411
421.000,0.955191
422.000,0.954970
423.000,0.954748
424.000,0.954525
425.000,0.954301
426.000,0.954076
427.000,0.953849
428.000,0.953621
429.000,0.953392
430.000,0.953161
431.000,0.952929
432.000,0.952696
433.000,0.952461
434.000,0.952225
435.000,0.951988
436.000,0.951750
437.000,0.951511
438.000,0.951270
439.000,0.951029
440.000,0.950786
441.000,0.950541
442.000,0.950296
443.000,0.950049
444.000,0.949801
445.000,0.949551
446.000,0.949300
447.000,0.949047
448.000,0.948793
449.000,0.948537
450.000,0.948280
451.000,0.948021
452.000,0.947761
453.000,0.947500
454.000,0.947237
455.000,0.946972
456.000,0.946706
457.000,0.946438
458.000,0.946168
459.000,0.945897
460.000,0.945624
461.000,0.945350
462.000,0.945073
463.000,0.944795
464.000,0.944515
465.000,0.944234
466.000,0.943950
467.000,0.943664
468.000,0.943377
469.000,0.943088
470.000,0.942796
471.000,0.942503
472.000,0.942208
473.000,0.941910
474.000,0.941611
475.000,0.941310
476.000,0.941006
477.000,0.940701
478.000,0.940393
479.000,0.940084
480.000,0.939772
481.000,0.939458
482.000,0.939142
483.000,0.938823
484.000,0.938503
485.000,0.938179
486.000,0.937854
487.000,0.937526
488.000,0.937196
489.000,0.936863
490.000,0.936527
491.000,0.936189
492.000,0.935849
493.000,0.935505
494.000,0.935159
495.000,0.934810
496.000,0.934459
497.000,0.934104
498.000,0.933747
499.000,0.933387
500.000,0.933024
501.000,0.932658
502.000,0.932289
503.000,0.931917
504.000,0.931542
505.000,0.931164
506.000,0.930783
507.000,0.930399
508.000,0.930011
509.000,0.929620
510.000,0.929226
511.000,0.928828
512.000,0.928427
513.000,0.928023
514.000,0.927615
515.000,0.927203
516.000,0.926788
517.000,0.926369
518.000,0.925946
519.000,0.925519
520.000,0.925088
521.000,0.924654
522.000,0.924215
523.000,0.923773
524.000,0.923326
525.000,0.922875
526.000,0.922420
527.000,0.921961
528.000,0.921497
529.000,0.921028
530.000,0.920555
531.000,0.920078
532.000,0.919596
533.000,0.919109
534.000,0.918617
535.000,0.918121
536.000,0.917619
537.000,0.917113
538.000,0.916601
539.000,0.916085
540.000,0.915563
541.000,0.915036
542.000,0.914503
543.000,0.913965
544.000,0.913422
545.000,0.912872
546.000,0.912317
547.000,0.911756
548.000,0.911190
549.000,0.910617
550.000,0.910038
551.000,0.909453
552.000,0.908861
553.000,0.908263
554.000,0.907659
555.000,0.907048
556.000,0.906430
557.000,0.905805
558.000,0.905174
559.000,0.904535
560.000,0.903889
561.000,0.903236
562.000,0.902575
563.000,0.901906
564.000,0.901230
565.000,0.900546
566.000,0.899854
567.000,0.899154
568.000,0.898445
569.000,0.897728
570.000,0.897003
571.000,0.896269
572.000,0.895527
573.000,0.894775
574.000,0.894015
575.000,0.893245
576.000,0.892467
577.000,0.891679
578.000,0.890881
579.000,0.890074
580.000,0.889256
581.000,0.888429
582.000,0.887591
583.000,0.886743
584.000,0.885884
585.000,0.885014
586.000,0.884133
587.000,0.883240
588.000,0.882336
589.000,0.881420
590.000,0.880493
591.000,0.879553
592.000,0.878601
593.000,0.877636
594.000,0.876658
595.000,0.875668
596.000,0.874664
597.000,0.873647
598.000,0.872617
599.000,0.871572
600.000,0.870514
601.000,0.869441
602.000,0.868354
603.000,0.867252
604.000,0.866135
605.000,0.865003
606.000,0.863855
607.000,0.862691
608.000,0.861511
609.000,0.860315
610.000,0.859102
611.000,0.857872
612.000,0.856624
613.000,0.855359
614.000,0.854075
615.000,0.852773
616.000,0.851452
617.000,0.850112
618.000,0.848752
619.000,0.847372
620.000,0.845972
621.000,0.844551
622.000,0.843110
623.000,0.841648
624.000,0.840164
625.000,0.838659
626.000,0.837132
627.000,0.835581
628.000,0.834008
629.000,0.832411
630.000,0.830791
631.000,0.829145
632.000,0.827475
633.000,0.825778
634.000,0.824056
635.000,0.822307
636.000,0.820531
637.000,0.818728
638.000,0.816896
639.000,0.815036
640.000,0.813146
641.000,0.811227
642.000,0.809278
643.000,0.807299
644.000,0.805288
645.000,0.803245
646.000,0.801170
647.000,0.799062
648.000,0.796921
649.000,0.794745
650.000,0.792534
651.000,0.790287
652.000,0.788004
653.000,0.785683
654.000,0.783325
655.000,0.780928
656.000,0.778491
657.000,0.776014
658.000,0.773496
659.000,0.770936
660.000,0.768333
661.000,0.765687
662.000,0.762997
663.000,0.760261
664.000,0.757480
665.000,0.754652
666.000,0.751776
667.000,0.748852
668.000,0.745878
669.000,0.742854
670.000,0.739779
671.000,0.736652
672.000,0.733472
673.000,0.730238
674.000,0.726949
675.000,0.723604
676.000,0.720202
677.000,0.716742
678.000,0.713222
679.000,0.709642
680.000,0.706001
681.000,0.702297
682.000,0.698530
683.000,0.694697
684.000,0.690800
685.000,0.686835
686.000,0.682801
687.000,0.678699
688.000,0.674525
689.000,0.670280
690.000,0.665961
691.000,0.661567
692.000,0.657098
693.000,0.652551
694.000,0.647926
695.000,0.643221
696.000,0.638435
697.000,0.633568
698.000,0.628617
699.000,0.623583
700.000,0.618463
701.000,0.613257
702.000,0.607965
703.000,0.602583
704.000,0.597113
705.000,0.591552
706.000,0.585901
707.000,0.580157
708.000,0.574320
709.000,0.568389
710.000,0.562363
711.000,0.556241
712.000,0.550024
713.000,0.543710
714.000,0.537299
715.000,0.530792
716.000,0.524188
717.000,0.517488
718.000,0.510692
719.000,0.503803
720.000,0.496822
721.000,0.489750
722.000,0.482590
723.000,0.475345
724.000,0.468018
725.000,0.460610
726.000,0.453126
727.000,0.445569
728.000,0.437941
729.000,0.430246
730.000,0.422487
731.000,0.414667
732.000,0.406790
733.000,0.398860
734.000,0.390884
735.000,0.382867
736.000,0.374818
737.000,0.366749
738.000,0.358672
739.000,0.350605
740.000,0.342566
741.000,0.334579
742.000,0.326671
743.000,0.318868
744.000,0.311203
745.000,0.303707
746.000,0.296411
747.000,0.289346
748.000,0.282539
749.000,0.276016
750.000,0.269795
751.000,0.263891
752.000,0.258310
753.000,0.253056
754.000,0.248122
755.000,0.243498
756.000,0.239168
757.000,0.235114
758.000,0.231313
759.000,0.227743
760.000,0.224380
761.000,0.221201
762.000,0.218186
763.000,0.215318
764.000,0.212580
765.000,0.209961
766.000,0.207452
767.000,0.205045
768.000,0.202738
769.000,0.200527
770.000,0.198412
771.000,0.196392
772.000,0.194467
773.000,0.192639
774.000,0.190907
775.000,0.189269
776.000,0.187726
777.000,0.186276
778.000,0.184915
779.000,0.183643
780.000,0.182454
781.000,0.181347
782.000,0.180318
783.000,0.179364
784.000,0.178482
785.000,0.177669
786.000,0.176923
787.000,0.176241
788.000,0.175623
789.000,0.175067
790.000,0.174570
791.000,0.174133
792.000,0.173754
793.000,0.173433
794.000,0.173168
795.000,0.172959
796.000,0.172804
797.000,0.172702
798.000,0.172653
799.000,0.172655
800.000,0.172708
801.000,0.172809
802.000,0.172957
803.000,0.173152
804.000,0.173392
805.000,0.173676
806.000,0.174003
807.000,0.174372
808.000,0.174781
809.000,0.175229
810.000,0.175716
811.000,0.176241
812.000,0.176803
813.000,0.177400
814.000,0.178032
815.000,0.178699
816.000,0.179399
817.000,0.180131
818.000,0.180895
819.000,0.181690
820.000,0.182514
821.000,0.183368
822.000,0.184251
823.000,0.185161
824.000,0.186098
825.000,0.187061
826.000,0.188050
827.000,0.189063
828.000,0.190100
829.000,0.191161
830.000,0.192244
831.000,0.193348
832.000,0.194474
833.000,0.195620
834.000,0.196785
835.000,0.197970
836.000,0.199172
837.000,0.200392
838.000,0.201629
839.000,0.202883
840.000,0.204152
841.000,0.205436
842.000,0.206735
843.000,0.208047
844.000,0.209374
845.000,0.210713
846.000,0.212064
847.000,0.213427
848.000,0.214801
849.000,0.216187
850.000,0.217582
851.000,0.218987
852.000,0.220401
853.000,0.221824
854.000,0.223255
855.000,0.224695
856.000,0.226141
857.000,0.227595
858.000,0.229056
859.000,0.230523
860.000,0.231996
861.000,0.233474
862.000,0.234958
863.000,0.236447
864.000,0.237941
865.000,0.239438
866.000,0.240940
867.000,0.242445
868.000,0.243952
869.000,0.245463
870.000,0.246976
871.000,0.248491
872.000,0.250007
873.000,0.251525
874.000,0.253045
875.000,0.254566
876.000,0.256087
877.000,0.257610
878.000,0.259132
879.000,0.260656
880.000,0.262179
881.000,0.263701
882.000,0.265224
883.000,0.266745
884.000,0.268266
885.000,0.269785
886.000,0.271302
887.000,0.272818
888.000,0.274332
889.000,0.275843
890.000,0.277353
891.000,0.278860
892.000,0.280364
893.000,0.281866
894.000,0.283366
895.000,0.284862
896.000,0.286356
897.000,0.287847
898.000,0.289334
899.000,0.290819
900.000,0.292300
901.000,0.293777
902.000,0.295251
903.000,0.296721
904.000,0.298187
905.000,0.299649
906.000,0.301107
907.000,0.302560
908.000,0.304010
909.000,0.305455
910.000,0.306896
911.000,0.308332
912.000,0.309764
913.000,0.311191
914.000,0.312613
915.000,0.314031
916.000,0.315445
917.000,0.316853
918.000,0.318257
919.000,0.319656
920.000,0.321050
921.000,0.322440
922.000,0.323824
923.000,0.325204
924.000,0.326578
925.000,0.327947
926.000,0.329311
927.000,0.330670
928.000,0.332023
929.000,0.333371
930.000,0.334713
931.000,0.336050
932.000,0.337381
933.000,0.338707
934.000,0.340027
935.000,0.341342
936.000,0.342651
937.000,0.343955
938.000,0.345253
939.000,0.346546
940.000,0.347834
941.000,0.349115
942.000,0.350391
943.000,0.351661
944.000,0.352925
945.000,0.354184
946.000,0.355436
947.000,0.356683
948.000,0.357924
949.000,0.359158
950.000,0.360387
951.000,0.361611
952.000,0.362828
953.000,0.364040
954.000,0.365246
955.000,0.366446
956.000,0.367640
957.000,0.368828
958.000,0.370009
959.000,0.371185
960.000,0.372353
961.000,0.373515
962.000,0.374669
963.000,0.375817
964.000,0.376958
965.000,0.378092
966.000,0.379220
967.000,0.380342
968.000,0.381459
969.000,0.382571
970.000,0.383680
971.000,0.384785
972.000,0.385887
973.000,0.386986
974.000,0.388084
975.000,0.389178
976.000,0.390270
977.000,0.391357
978.000,0.392438
979.000,0.393512
980.000,0.394576
981.000,0.395629
982.000,0.396668
983.000,0.397693
984.000,0.398703
985.000,0.399697
986.000,0.400678
987.000,0.401646
988.000,0.402606
989.000,0.403562
990.000,0.404520
991.000,0.405483
992.000,0.406459
993.000,0.407453
994.000,0.408466
995.000,0.409501
996.000,0.410557
997.000,0.411630
998.000,0.412711
999.000,0.413791
1000.000,0.414855
