Wavelength,Power transmitted
400.000,0.988988
401.000,0.988973
402.000,0.988958
403.000,0.988943
404.000,0.988928
405.000,0.988913
406.000,0.988899
407.000,0.988884
408.000,0.988869
409.000,0.988854
410.000,0.988839
411.000,0.988824
412.000,0.988810
413.000,0.988795
414.000,0.988781
415.000,0.988766
416.000,0.988752
417.000,0.988738
418.000,0.988724
419.000,0.988710
420.000,0.988696
421.000,0.988682
422.000,0.988668
423.000,0.988655
424.000,0.988641
425.000,0.988628
426.000,0.988614
427.000,0.988601
428.000,0.988588
429.000,0.988575
430.000,0.988561
431.000,0.988548
432.000,0.988535
433.000,0.988522
434.000,0.988509
435.000,0.988497
436.000,0.988484
437.000,0.988471
438.000,0.988459
439.000,0.988446
440.000,0.988434
441.000,0.988421
442.000,0.988409
443.000,0.988397
444.000,0.988385
445.000,0.988372
446.000,0.988360
447.000,0.988348
448.000,0.988337
449.000,0.988325
450.000,0.988313
451.000,0.988301
452.000,0.988290
453.000,0.988278
454.000,0.988266
455.000,0.988255
456.000,0.988244
457.000,0.988232
458.000,0.988221
459.000,0.988210
460.000,0.988199
461.000,0.988187
462.000,0.988176
463.000,0.988165
464.000,0.988154
465.000,0.988144
466.000,0.988133
467.000,0.988122
468.000,0.988111
469.000,0.988100
470.000,0.988090
471.000,0.988079
472.000,0.988069
473.000,0.988058
474.000,0.988048
475.000,0.988037
476.000,0.988027
477.000,0.988017
478.000,0.988007
479.000,0.987996
480.000,0.987986
481.000,0.987976
482.000,0.987966
483.000,0.987956
484.000,0.987946
485.000,0.987937
486.000,0.987927
487.000,0.987917
488.000,0.987907
489.000,0.987898
490.000,0.987888
491.000,0.987879
492.000,0.987869
493.000,0.987860
494.000,0.987850
495.000,0.987841
496.000,0.987831
497.000,0.987822
498.000,0.987813
499.000,0.987804
500.000,0.987795
501.000,0.987785
502.000,0.987776
503.000,0.987767
504.000,0.987758
505.000,0.987749
506.000,0.987740
507.000,0.987732
508.000,0.987723
509.000,0.987714
510.000,0.987705
511.000,0.987697
512.000,0.987688
513.000,0.987679
514.000,0.987671
515.000,0.987662
516.000,0.987654
517.000,0.987645
518.000,0.987637
519.000,0.987629
520.000,0.987620
521.000,0.987612
522.000,0.987604
523.000,0.987596
524.000,0.987587
525.000,0.987579
526.000,0.987571
527.000,0.987563
528.000,0.987555
529.000,0.987547
530.000,0.987539
531.000,0.987531
532.000,0.987523
533.000,0.987515
534.000,0.987508
535.000,0.987500
536.000,0.987492
537.000,0.987484
538.000,0.987477
539.000,0.987469
540.000,0.987461
541.000,0.987454
542.000,0.987446
543.000,0.987439
544.000,0.987431
545.000,0.987424
546.000,0.987417
547.000,0.987409
548.000,0.987402
549.000,0.987395
550.000,0.987387
551.000,0.987380
552.000,0.987373
553.000,0.987366
554.000,0.987359
555.000,0.987352
556.000,0.987345
557.000,0.987338
558.000,0.987331
559.000,0.987324
560.000,0.987317
561.000,0.987310
562.000,0.987303
563.000,0.987296
564.000,0.987289
565.000,0.987282
566.000,0.987276
567.000,0.987269
568.000,0.987262
569.000,0.987255
570.000,0.987249
571.000,0.987242
572.000,0.987235
573.000,0.987229
574.000,0.987222
575.000,0.987216
576.000,0.987209
577.000,0.987203
578.000,0.987196
579.000,0.987190
580.000,0.987183
581.000,0.987177
582.000,0.987171
583.000,0.987165
584.000,0.987158
585.000,0.987152
586.000,0.987146
587.000,0.987140
588.000,0.987133
589.000,0.987127
590.000,0.987121
591.000,0.987115
592.000,0.987109
593.000,0.987103
594.000,0.987097
595.000,0.987091
596.000,0.987085
597.000,0.987079
598.000,0.987073
599.000,0.987067
600.000,0.987061
601.000,0.987055
602.000,0.987049
603.000,0.987044
604.000,0.987038
